period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,equity_on_liability,asset_on_equity,equity_on_total_asset,roa,payable_on_equity,book_value_per_share_change,eps_change,book_value_per_share,company
2021-Q4,4,2021,20.2,1.8,0.091,2535.0,0.1,8.0,0.125,0.012,6.7,-0.007,0.037,28527.0,BVH
2021-Q3,3,2021,23.6,2.0,0.087,2443.0,0.2,7.7,0.129,0.012,6.5,0.019,-0.007,28726.0,BVH
2021-Q2,2,2021,23.4,2.0,0.09,2460.0,0.2,7.1,0.14,0.013,5.9,0.022,-0.036,28193.0,BVH
2021-Q1,1,2021,23.0,2.1,0.095,2551.0,0.2,7.2,0.14,0.014,5.9,0.023,0.221,27592.0,BVH
2020-Q4,4,2020,31.1,2.4,0.079,2090.0,0.2,7.4,0.136,0.011,6.1,-0.007,0.31,26961.0,BVH
2020-Q3,3,2020,29.7,1.7,0.066,1596.0,0.2,7.2,0.139,0.009,5.9,0.021,0.109,27149.0,BVH
2020-Q2,2,2020,30.7,1.7,0.061,1439.0,0.2,7.0,0.143,0.008,5.7,0.023,0.329,26581.0,BVH
2020-Q1,1,2020,33.2,1.4,0.047,1083.0,0.2,6.9,0.145,0.006,5.7,0.012,-0.255,25992.0,BVH
2019-Q4,4,2019,45.8,2.6,0.064,1454.0,0.2,6.7,0.149,0.009,5.5,0.218,-0.116,25688.0,BVH
2019-Q3,3,2019,43.6,3.4,0.081,1644.0,0.2,7.8,0.129,0.011,6.4,0.021,0.277,21095.0,BVH
2019-Q2,2,2019,60.2,3.7,0.063,1287.0,0.2,7.9,0.127,0.009,6.5,0.012,-0.083,20670.0,BVH
2019-Q1,1,2019,64.9,4.5,0.071,1403.0,0.2,7.7,0.13,0.01,6.3,0.029,-0.026,20428.0,BVH
2018-Q4,4,2018,59.2,4.3,0.075,1441.0,0.2,7.7,0.13,0.01,6.4,0.011,-0.066,19856.0,BVH
2018-Q3,3,2018,60.8,4.8,0.082,1544.0,0.2,6.9,0.144,0.012,5.6,-0.042,-0.08,19636.0,BVH
2018-Q2,2,2018,45.9,3.8,0.085,1677.0,0.2,6.6,0.151,0.014,5.3,0.072,-0.228,20501.0,BVH
2018-Q1,1,2018,41.2,4.7,0.117,2172.0,0.2,7.0,0.143,0.018,5.7,0.032,0.032,19120.0,BVH
2017-Q4,4,2017,29.3,3.3,0.116,2105.0,0.2,6.6,0.151,0.019,5.3,0.021,0.029,18533.0,BVH
2017-Q3,3,2017,25.4,2.9,0.115,2046.0,0.2,6.4,0.157,0.02,5.1,-0.036,-0.083,18147.0,BVH
2017-Q2,2,2017,24.0,2.8,0.124,2231.0,0.2,5.9,0.169,0.022,4.7,0.043,0.233,18824.0,BVH
2017-Q1,1,2017,30.4,3.1,0.102,1810.0,0.2,5.6,0.178,0.02,4.3,0.011,-0.002,18051.0,BVH
2016-Q4,4,2016,29.8,3.0,0.104,1813.0,0.2,5.5,0.181,0.02,4.3,0.02,0.046,17858.0,BVH
2016-Q3,3,2016,38.0,3.8,0.099,1733.0,0.3,5.2,0.193,0.021,3.9,0.025,0.083,17504.0,BVH
2016-Q2,2,2016,34.3,3.2,0.096,1600.0,0.3,5.1,0.197,0.021,3.8,-0.018,0.03,17079.0,BVH
2016-Q1,1,2016,29.5,2.6,,1553.0,0.3,4.9,0.206,0.021,3.6,0.026,0.026,17392.0,BVH
2015-Q4,4,2015,32.1,2.9,,1514.0,0.3,4.7,0.215,0.021,3.4,-0.031,-0.108,16945.0,BVH
2015-Q3,3,2015,25.1,2.4,,1696.0,0.3,4.1,0.243,0.025,3.1,0.068,-0.072,17494.0,BVH
2015-Q2,2,2015,20.6,2.3,,1828.0,0.3,4.2,0.239,0.024,3.0,,0.093,16382.0,BVH
2015-Q1,1,2015,18.2,,,1673.0,0.3,,,0.023,2.9,,-0.037,,BVH
2024-Q4,4,2024,8.8,1.5,0.185,4720.0,0.1,16.1,0.062,0.011,15.1,0.053,0.17,27654.0,CTG
2024-Q3,3,2024,9.2,1.4,0.166,4035.0,0.1,15.8,0.063,0.011,14.8,0.037,0.067,26254.0,CTG
2024-Q2,2,2024,8.2,1.2,0.161,3781.0,0.1,15.9,0.063,0.01,14.9,0.041,0.008,25320.0,CTG
2024-Q1,1,2024,9.5,1.5,0.167,3751.0,0.1,15.9,0.063,0.01,14.9,0.024,0.008,24317.0,CTG
2023-Q4,4,2023,7.3,1.1,0.171,3722.0,0.1,15.9,0.063,0.01,14.9,0.046,0.103,23756.0,CTG
2023-Q3,3,2023,8.0,1.2,0.16,3376.0,0.1,15.5,0.065,0.01,14.5,0.033,0.03,22719.0,CTG
2023-Q2,2,2023,8.1,1.2,0.161,3279.0,0.1,15.8,0.063,0.01,14.8,0.045,0.033,21985.0,CTG
2023-Q1,1,2023,8.2,1.2,0.163,3175.0,0.1,16.1,0.062,0.01,15.1,0.043,0.008,21032.0,CTG
